"Source:","/home/gavin/src/gavdan-2/schematics/gavdan-2-io-board/gavdan-2-io-board.kicad_sch"
"Date:","Wed 12 Oct 2022 21:20:00 BST"
"Tool:","Eeschema 6.0.2+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","13"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1",".1uF","Device:C","","~"
"","","C2","33pF","Device:C","","~"
"","","C3",".1uF","Device:C","","~"
"","","J1","DB9_Female","Connector:DB9_Female",""," ~"
"","","R1","R","Device:R","","~"
"","","U1","74LS04","74xx:74LS04","","http://www.ti.com/lit/gpn/sn74LS04"
"","","U2","74LS133","74xx:74LS133","","http://www.ti.com/lit/gpn/sn74LS133"
"","","U3","74LS08","74xx:74LS08","","http://www.ti.com/lit/gpn/sn74LS08"
"","","U4","74LS08","74xx:74LS08","","http://www.ti.com/lit/gpn/sn74LS08"
"","","U5","6551 ACIA","65xx:6551","","http://www.6502.org/documents/datasheets/mos/mos_6551_acia.pdf"
"","","U6","MAX233CPP","MAX233CPP_G36:MAX233CPP+G36","DIP794W47P254L2654H457Q20",""
"","","U7","6522 VIA","65xx:6522","","http://www.6502.org/documents/datasheets/mos/mos_6522_preliminary_nov_1977.pdf"
"","","Y1","1.8432MHZ","Device:Crystal","","~"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","2","C1, C3",".1uF","Device:C","","~"
"2","1","C2","33pF","Device:C","","~"
"3","1","J1","DB9_Female","Connector:DB9_Female",""," ~"
"4","1","R1","R","Device:R","","~"
"5","1","U1","74LS04","74xx:74LS04","","http://www.ti.com/lit/gpn/sn74LS04"
"6","1","U2","74LS133","74xx:74LS133","","http://www.ti.com/lit/gpn/sn74LS133"
"7","2","U3, U4","74LS08","74xx:74LS08","","http://www.ti.com/lit/gpn/sn74LS08"
"8","1","U5","6551 ACIA","65xx:6551","","http://www.6502.org/documents/datasheets/mos/mos_6551_acia.pdf"
"9","1","U6","MAX233CPP","MAX233CPP_G36:MAX233CPP+G36","DIP794W47P254L2654H457Q20",""
"10","1","U7","6522 VIA","65xx:6522","","http://www.6502.org/documents/datasheets/mos/mos_6522_preliminary_nov_1977.pdf"
"11","1","Y1","1.8432MHZ","Device:Crystal","","~"
